name,Strikes Landed,Strikes Attempted,Takedowns Landed,Takedowns Attempted,Significant strikes per Minute,Significant strikes Absorbed per minute,Takedown Average,Submission Average,Significant Strike Defense,Takedown Defense,Knockdown Average,Average Fight Time,Standing Position Strikes,Clinch Position Strikes,Ground Position Strikes,Wins by KO,Wins by Submission,Wins by Decision,Strikes to Head,Strikes To Body,Strikes To Leg,wins,losses,draws,Win percentage,Striking Accuracy,Takedown Accuracy,Total Fights
Dustin Pague,96,179,0.0,9,1.65,2.96,1.03,2.57,0.41,0.56,0.0,9.73,0.6,0.14,0.26,0.27,0.0,0.73,54.0,18.0,24.0,11,10,0,0.5238095238095238,0.5363128491620112,0.0,21
Teemu Packalen,50,92,3.0,12,2.57,3.91,2.31,1.54,0.48,1.0,0.77,4.87,0.68,0.1,0.22,0.25,0.0,0.75,37.0,12.0,1.0,8,3,0,0.7272727272727273,0.5434782608695652,0.25,11
Alexandre Pantoja,512,1059,3.0,27,4.25,3.38,1.37,1.25,0.55,0.68,0.37,10.03,0.81,0.12,0.07,0.32,0.28,0.4,320.0,111.0,81.0,25,5,0,0.8333333333333334,0.4834749763928234,0.1111111111111111,30
Josh Parisian,282,537,1.0,13,4.97,5.11,1.06,0.26,0.41,0.43,0.53,9.45,0.65,0.23,0.12,0.71,0.14,0.14,169.0,84.0,29.0,15,5,0,0.75,0.5251396648044693,0.0769230769230769,20
Jared Papazian,111,281,0.0,4,3.33,3.81,0.0,0.0,0.45,0.5,0.0,11.12,0.82,0.16,0.02,0.0,0.0,0.0,77.0,22.0,12.0,14,9,0,0.6086956521739131,0.395017793594306,0.0,23
Jonny Parsons,53,136,0.0,3,3.53,5.2,0.0,0.0,0.55,0.5,0.0,15.0,0.98,0.02,0.0,0.75,0.25,0.0,30.0,14.0,9.0,8,2,0,0.8,0.3897058823529412,0.0,10
Ramona Pascual,115,209,3.0,21,3.83,8.73,2.0,0.0,0.47,1.0,0.0,15.0,0.76,0.22,0.03,0.67,0.17,0.17,48.0,40.0,27.0,6,4,0,0.6,0.5502392344497608,0.1428571428571428,10
Preston Parsons,98,155,0.0,10,5.22,3.83,3.19,3.99,0.5,1.0,0.0,9.4,0.57,0.07,0.36,0.0,0.1,0.9,74.0,13.0,11.0,10,3,0,0.7692307692307693,0.632258064516129,0.0,13
Sergei Pavlovich,86,166,0.0,2,6.83,4.44,0.0,0.0,0.46,0.67,4.76,2.52,0.57,0.2,0.23,0.81,0.19,0.0,82.0,3.0,1.0,16,1,0,0.9411764705882352,0.5180722891566265,0.0,17
Estevan Payan,177,416,0.0,1,4.25,3.58,0.36,0.36,0.58,0.6,0.0,10.13,0.72,0.2,0.07,0.36,0.43,0.21,112.0,42.0,23.0,14,6,0,0.7,0.4254807692307692,0.0,20
Pawel Pawlak,75,222,0.0,8,1.67,2.22,1.0,0.0,0.54,0.7,0.0,15.0,0.65,0.27,0.08,0.64,0.18,0.18,36.0,28.0,11.0,11,2,0,0.8461538461538461,0.3378378378378378,0.0,13
Julianna Peña,392,819,9.0,29,3.16,2.3,1.94,0.85,0.51,0.23,0.0,12.4,0.54,0.16,0.3,0.25,0.25,0.5,297.0,82.0,13.0,12,5,0,0.7058823529411765,0.4786324786324786,0.3103448275862069,17
Julio Paulino,29,104,0.0,0,0.97,1.87,0.0,0.5,0.49,0.38,0.0,15.0,0.62,0.24,0.14,0.0,0.0,0.0,16.0,11.0,2.0,18,4,0,0.8181818181818182,0.2788461538461538,0.0,22
Zac Pauga,32,50,0.0,0,5.71,2.14,0.0,0.0,0.7,1.0,0.0,5.6,0.97,0.03,0.0,0.33,0.67,0.0,14.0,9.0,9.0,6,1,0,0.8571428571428571,0.64,0.0,7
Alan Patrick,209,513,22.0,69,1.82,2.95,3.01,0.26,0.43,0.44,0.13,11.47,0.67,0.11,0.22,0.27,0.6,0.13,127.0,53.0,29.0,15,4,0,0.7894736842105263,0.4074074074074074,0.3188405797101449,19
Alex Pereira,144,237,0.0,0,6.29,3.36,0.0,0.0,0.59,0.73,1.31,7.63,0.8,0.19,0.01,0.83,0.17,0.0,69.0,58.0,17.0,6,1,0,0.8571428571428571,0.6075949367088608,0.0,7
